,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
389,40.0,0.7,20.0,0.6,10.25176597,9.997929
390,4.0,0.2,26.0,0.6,6.89798472,6.7549043
391,13.0,0.2,26.0,0.6,8.773549383,8.553702
392,22.0,0.2,26.0,0.6,8.996443495,8.749352
393,31.0,0.2,26.0,0.6,8.975124543,8.710738
394,40.0,0.2,26.0,0.6,8.951045537,8.599125
395,4.0,0.3,26.0,0.6,7.201069316,7.101772
396,13.0,0.3,26.0,0.6,10.63922764,10.187075
397,22.0,0.3,26.0,0.6,11.07201678,10.629644
398,31.0,0.3,26.0,0.6,11.10044083,10.750458
399,40.0,0.3,26.0,0.6,11.12580613,10.75064
400,4.0,0.4,26.0,0.6,6.461918763,6.495195
401,13.0,0.4,26.0,0.6,11.61783782,11.320697
402,22.0,0.4,26.0,0.6,12.26848259,11.916701
403,31.0,0.4,26.0,0.6,12.37075647,12.111561
404,40.0,0.4,26.0,0.6,12.47209815,12.187972
405,4.0,0.5,26.0,0.6,5.441525544,5.8572025
406,13.0,0.5,26.0,0.6,11.5889362,11.769247
407,22.0,0.5,26.0,0.6,12.39696092,12.505981
408,31.0,0.5,26.0,0.6,12.58194256,12.730121
409,40.0,0.5,26.0,0.6,12.7651784,12.841882
410,4.0,0.6,26.0,0.6,5.098621228,5.400268
411,13.0,0.6,26.0,0.6,11.95439481,11.833654
412,22.0,0.6,26.0,0.6,12.92514718,12.740838
413,31.0,0.6,26.0,0.6,13.19691217,12.9839525
414,40.0,0.6,26.0,0.6,13.4630792,13.119676
415,4.0,0.7,26.0,0.6,5.038193441,5.051192
416,13.0,0.7,26.0,0.6,11.94228102,11.657827
417,22.0,0.7,26.0,0.6,12.98765866,12.782634
418,31.0,0.7,26.0,0.6,13.32209114,13.04389
419,40.0,0.7,26.0,0.6,13.64991705,13.20217
420,4.0,0.2,32.0,0.6,8.102794986,7.9616904
421,13.0,0.2,32.0,0.6,10.47879727,10.273172
422,22.0,0.2,32.0,0.6,10.95323941,10.849877
423,31.0,0.2,32.0,0.6,10.95255196,10.955805
424,40.0,0.2,32.0,0.6,10.94675411,10.882524
425,4.0,0.3,32.0,0.6,8.398206889,8.050017
426,13.0,0.3,32.0,0.6,12.89289399,12.333667
427,22.0,0.3,32.0,0.6,13.78536541,13.050792
428,31.0,0.3,32.0,0.6,13.84770052,13.290925
429,40.0,0.3,32.0,0.6,13.90372983,13.344063
430,4.0,0.4,32.0,0.6,7.142207647,7.2985883
431,13.0,0.4,32.0,0.6,13.48546111,13.449109
432,22.0,0.4,32.0,0.6,14.72383556,14.391571
433,31.0,0.4,32.0,0.6,14.86132088,14.703606
434,40.0,0.4,32.0,0.6,14.99178092,14.79766
435,4.0,0.5,32.0,0.6,6.411117452,6.5943766
436,13.0,0.5,32.0,0.6,14.22557989,13.919781
437,22.0,0.5,32.0,0.6,15.80773077,15.104125
438,31.0,0.5,32.0,0.6,16.04361025,15.446178
439,40.0,0.5,32.0,0.6,16.27235514,15.556608
440,4.0,0.6,32.0,0.6,6.023082077,6.098584
441,13.0,0.6,32.0,0.6,14.41474276,13.997577
442,22.0,0.6,32.0,0.6,16.20562208,15.441062
443,31.0,0.6,32.0,0.6,16.50521209,15.801663
444,40.0,0.6,32.0,0.6,16.79359532,15.927901
445,4.0,0.7,32.0,0.6,5.927688657,5.740217
446,13.0,0.7,32.0,0.6,14.28011611,13.78769
447,22.0,0.7,32.0,0.6,16.17930127,15.5248995
448,31.0,0.7,32.0,0.6,16.55746066,15.9059305
449,40.0,0.7,32.0,0.6,16.9193972,16.05341
450,4.0,0.2,8.0,0.8,1.858789253,2.3002632
451,13.0,0.2,8.0,0.8,2.064060444,2.3355818
452,22.0,0.2,8.0,0.8,2.031105179,2.316252
453,31.0,0.2,8.0,0.8,1.995867681,2.305232
454,40.0,0.2,8.0,0.8,1.961629322,2.2994075
455,4.0,0.3,8.0,0.8,2.47083713,2.6437168
456,13.0,0.3,8.0,0.8,2.849847932,3.0920568
457,22.0,0.3,8.0,0.8,2.730084008,2.91014
458,31.0,0.3,8.0,0.8,2.608296488,2.771369
459,40.0,0.3,8.0,0.8,2.486558306,2.669399
460,4.0,0.4,8.0,0.8,2.831854923,2.9803402
461,13.0,0.4,8.0,0.8,3.39028226,3.4503353
462,22.0,0.4,8.0,0.8,3.209465561,3.3526037
463,31.0,0.4,8.0,0.8,3.025403917,3.2392092
464,40.0,0.4,8.0,0.8,2.840470374,3.135354
465,4.0,0.5,8.0,0.8,2.919696892,3.0427792
466,13.0,0.5,8.0,0.8,3.681800529,3.5800936
467,22.0,0.5,8.0,0.8,3.488056471,3.5050833
468,31.0,0.5,8.0,0.8,3.291245941,3.4390056
469,40.0,0.5,8.0,0.8,3.094317857,3.3723574
